Question,Rewritten Question,Code,Answer Type,Generated Answer,Expected Answer
What is the quality rating of the wine with the lowest volatile acidity?,What is the quality rating associated with the wine having the minimum volatile acidity?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
    # Filter the dataset to find the row with the minimum volatile acidity
    min_volatile_acidity_wine = db.loc[db[""volatile acidity""].idxmin()]
    
    # Extract the quality rating associated with this wine
    quality_rating = min_volatile_acidity_wine[""quality""]
    
    return quality_rating
",uint8,7,7
What is the quality rating of the wine with the highest pH level?,What is the quality rating of the wine having the maximum pH level?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
    max_ph_level_wine = db.loc[db[""pH""] == db[""pH""].max()]
    quality_rating = max_ph_level_wine[""quality""].values[0]
    
    return quality_rating
",uint8,6,6
List the quality ratings of the top 3 wines with the highest alcohol content.,What are the quality ratings for the top 3 wines with the highest alcohol content?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Sort the dataset by alcohol in descending order and get the top 3 entries
    top_wines = dataset.nlargest(3, 'alcohol')
    
    # Extract the quality ratings of these top wines
    qualities = list(top_wines['quality'])
    
    return qualities
",list of uint8,"[5, 6, 6]","['5', '6', '6']"
Enumerate the quality ratings of the bottom 2 wines with the lowest residual sugar.,,,,ERROR,"['6', '6']"
Which are the quality ratings of the top 5 wines with the highest density?,"What are the quality ratings for wines that have the highest density, limited to the top 5?","def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Find the maximum density value
    max_density = dataset[""density""].max()
    
    # Filter the dataset to only include rows with the maximum density
    densest_wines = dataset[dataset[""density""] == max_density]
    
    # Get the top 5 entries based on density (though there should be only one as we are filtering by max density)
    top_5_densest = densest_wines.head(5)
    
    # Extract the quality ratings for these wines
    qualities = list(top_5_densest[""quality""])
    
    return qualities
",list of uint8,"[6, 6]","['6', '6', '7', '5', '5']"
List the quality ratings of the bottom 4 wines with the lowest pH level.,What are the quality ratings for the 4 wines with the lowest pH levels?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Sort the dataset by pH in ascending order to get the wines with the lowest pH levels
    sorted_wines = dataset.sort_values(by='pH', ascending=True)
    
    # Select the top 4 wines based on pH
    top_4_wines = sorted_wines.head(4)
    
    # Extract the quality ratings for these top 4 wines
    quality_ratings = list(top_4_wines['quality'])
    
    return quality_ratings
",list of uint8,"[4, 6, 6, 8]","['4', '6', '6', '8']"
What are the alcohol contents of the top 4 wines with the highest quality ratings?,What are the alcohol contents for the top 4 wines ranked by quality?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Sort the dataset by 'quality' in descending order and select the top 4 rows
    top_wines = dataset.sort_values(by='quality', ascending=False).head(4)
    
    # Extract the 'alcohol' values from these top wines
    alcohol_contents = top_wines['alcohol'].tolist()
    
    return alcohol_contents
",list of float64,"[11.0, 10.0, 12.9, 12.5]","['12.8', '12.6', '12.9', '9.8']"
List the volatile acidity levels of the bottom 3 wines with the lowest quality ratings.,What are the volatile acidity levels for the 3 wines with the lowest quality ratings?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    low_quality_wines = dataset.nsmallest(3, 'quality')
    volatile_acidity_levels = low_quality_wines['volatile acidity'].tolist()
    
    return volatile_acidity_levels
",list of float64,"[0.58, 0.61, 1.185]","['0.58', '0.61', '1.185']"
Enumerate the fixed acidity levels of the top 5 wines with the highest quality ratings.,What are the fixed acidity levels for the top 5 wines with the highest quality ratings?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
    # Load the dataset into a DataFrame
    df = pd.DataFrame(db)
    
    # Sort the wines by quality in descending order and get the top 5
    top_wines = df.sort_values(by='quality', ascending=False).head(5)
    
    # Extract the fixed acidity levels for these top 5 wines
    fixed_acidity_levels = list(top_wines['fixed acidity'])
    
    return fixed_acidity_levels
",list of float64,"[10.7, 7.2, 5.6, 9.1, 8.6]","['7.9', '10.3', '5.6', '12.6', '11.3']"
Provide the residual sugar levels of the bottom 2 wines with the lowest quality ratings.,What are the residual sugar levels for the two wines with the lowest quality ratings?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Sort the dataset by quality in ascending order and get the top two rows
    low_quality_wines = dataset.loc[dataset['quality'].sort_values().head(2).index]
    
    # Extract the residual sugar levels for these wines
    answer = low_quality_wines['residual sugar'].tolist()
    
    return answer
",list of float64,"[5.7, 1.5]","['2.2', '2.1']"
Is there any purchase with a total cost above 1000?,,,,ERROR,TRUE
Are there any customers who made a purchase using cash?,,,,ERROR,TRUE
Is the customer with the highest total purchase cost a 'Member'?,Does the customer who has made the highest total purchase cost belong to the 'Member' category?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    max_total_customer = dataset.loc[dataset[""Total""].idxmax()][""Customer type""]
    is_member = max_total_customer == ""Member""
    
    return is_member
",bool,TRUE,TRUE
Does any customer with a rating strictly above 9 use 'Ewallet' as their payment method?,Are there any customers who rated the product with a score higher than 9 and used 'Ewallet' as their payment method?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    result = dataset[(dataset['Rating'] > 9) & (dataset['Payment'] == 'Ewallet')]
    return not result.empty
",bool,TRUE,TRUE
How many unique branches are there in the dataset?,What is the total number of distinct branches present in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    num_distinct_branches = len(dataset['Branch'].unique())
    
    return num_distinct_branches
",int64,3,3
What is the maximum quantity of products bought in a single purchase?,What is the highest value found in the 'Quantity' column?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    max_quantity = dataset[""Quantity""].max()
    return max_quantity
",uint8,10,10
What is the minimum total cost of a purchase in the dataset?,What is the smallest value of the total cost in the dataset?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
    min_total_cost = db['Total'].min()
    return min_total_cost
",float64,10.6785,10.6785
How many purchases were made in Yangon city?,What is the total number of purchases made in Yangon?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Filter the dataset for purchases made in Yangon
    yangon_purchases = dataset[dataset['City'] == 'Yangon']
    
    # Get the total number of purchases made in Yangon
    total_purchases = len(yangon_purchases)
    
    return total_purchases
",int64,340,340
What is the payment method used for the purchase with the highest total cost?,Which payment method was used for the purchase that had the highest total cost?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Find the row with the maximum total cost
    max_total_purchase = dataset.loc[dataset[""Total""] == dataset[""Total""].max()]
    
    # Return the payment method used for this purchase
    payment_method = max_total_purchase[""Payment""].values[0]
    
    return payment_method
",category,Credit card,Credit card
What is the product line of the purchase with the highest total cost?,Which product line had the highest total cost in any purchase?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Filter the dataset to only include relevant columns
    relevant_data = dataset[['Product line', 'Total']]
    
    # Group by product line and sum the total cost for each product line
    grouped_data = relevant_data.groupby('Product line')['Total'].sum().reset_index()
    
    # Find the product line with the highest total cost
    max_cost_product_line = grouped_data.loc[grouped_data['Total'] == grouped_data['Total'].max(), 'Product line']
    
    # Return the result as a single string value
    return max_cost_product_line.iloc[0]

",string,Food and beverages,Fashion accessories
What is the customer type of the purchase with the lowest total cost?,Which customer type made the purchase with the lowest total cost?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Find the row with the minimum total value
    min_total_row = dataset.loc[dataset['Total'] == dataset['Total'].min()]
    
    # Return the 'Customer type' from that row
    customer_type = min_total_row['Customer type'].iloc[0]
    
    return customer_type
",category,Member,Member
What is the gender of the customer with the highest total purchase cost?,Which gender corresponds to the customer who spent the highest amount at the supermarket?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Filter for the row with the maximum total spending
    max_spending_row = dataset.loc[dataset['Total'].idxmax()]
    
    # Extract the gender of this customer
    customer_gender = max_spending_row['Gender']
    
    return customer_gender
",category,Female,Female
List the payment methods of the top 3 purchases with the highest total cost.,What are the payment methods used for the top three most expensive purchases?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Sort the dataset by total in descending order to get the top three most expensive purchases
    top_three_expensive = dataset.sort_values(by='Total', ascending=False).head(3)
    
    # Extract the payment methods for these top three purchases
    payments = top_three_expensive['Payment'].tolist()
    
    return payments
",list of (category),"['Credit card', 'Credit card', 'Ewallet']","['Credit card', 'Credit card', 'Ewallet']"
Enumerate the product lines of the bottom 2 purchases with the lowest total cost.,What are the product lines associated with the two purchases that have the lowest total cost?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Sort the dataset by 'Total' in ascending order to get the lowest totals first
    sorted_by_total = dataset.sort_values(by='Total', ascending=True)
    
    # Get the product lines for the first two rows (lowest total costs)
    product_lines_lowest_totals = sorted_by_total['Product line'].head(2).tolist()
    
    return product_lines_lowest_totals
",list of (category),"['Sports and travel', 'Fashion accessories']","['Sports and travel', 'Fashion accessories']"
Which are the customer types of the top 5 purchases with the highest total cost?,What are the customer types associated with the top 5 most expensive purchases?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Sort the dataset by total in descending order to get the top 5 most expensive purchases
    top_expensive_purchases = dataset.sort_values(by='Total', ascending=False).head(5)
    
    # Extract the customer types for these top purchases
    customer_types = top_expensive_purchases['Customer type'].tolist()
    
    return customer_types
",list of (category),"['Member', 'Normal', 'Member', 'Normal', 'Normal']","['Member', 'Normal', 'Member', 'Normal', 'Normal']"
List the genders of the bottom 4 purchases with the lowest total cost.,Which genders are associated with the 4 customers who spent the least amount?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Filter for total sales and sort in ascending order
    sorted_customers = dataset.sort_values(by='Total', ascending=True).head(4)
    
    # Extract the genders associated with these customers
    result_genders = sorted_customers['Gender'].tolist()
    
    return result_genders
",list of string,"['Male', 'Female', 'Female', 'Male']","['Male', 'Female', 'Female', 'Male']"
What are the quantities of products bought in the top 4 purchases with the highest total cost?,What are the quantities purchased for the top 4 most expensive products?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
    # Extract relevant columns
    product_line = db[['Product line', 'Unit price']]
    
    # Sort by unit price in descending order and get the top 4 most expensive products
    top_expensive_products = product_line.sort_values(by='Unit price', ascending=False).head(4)
    
    # Get the quantities for these top 4 most expensive products from the original dataset
    quantities = db.loc[db['Product line'].isin(top_expensive_products['Product line']), 'Quantity']
    
    return list(quantities.values)

",list of int64,"[np.uint8(7), np.uint8(7), np.uint8(8), np.uint8(7), np.uint8(10), np.uint8(2), np.uint8(4), np.uint8(10), np.uint8(6), np.uint8(7), np.uint8(6), np.uint8(2), np.uint8(3), np.uint8(2), np.uint8(3), np.uint8(8), np.uint8(1), np.uint8(2), np.uint8(9), np.uint8(5), np.uint8(9), np.uint8(8), np.uint8(2), np.uint8(1), np.uint8(5), np.uint8(8), np.uint8(8), np.uint8(1), np.uint8(2), np.uint8(6), np.uint8(2), np.uint8(9), np.uint8(10), np.uint8(4), np.uint8(1), np.uint8(2), np.uint8(2), np.uint8(8), np.uint8(10), np.uint8(3), np.uint8(6), np.uint8(9), np.uint8(10), np.uint8(4), np.uint8(10), np.uint8(2), np.uint8(6), np.uint8(10), np.uint8(1), np.uint8(10), np.uint8(9), np.uint8(9), np.uint8(9), np.uint8(5), np.uint8(6), np.uint8(5), np.uint8(7), np.uint8(5), np.uint8(1), np.uint8(6), np.uint8(4), np.uint8(10), np.uint8(7), np.uint8(9), np.uint8(1), np.uint8(10), np.uint8(6), np.uint8(1), np.uint8(9), np.uint8(7), np.uint8(6), np.uint8(6), np.uint8(2), np.uint8(3), np.uint8(7), np.uint8(9), np.uint8(9), np.uint8(3), np.uint8(5), np.uint8(1), np.uint8(2), np.uint8(7), np.uint8(9), np.uint8(8), np.uint8(8), np.uint8(7), np.uint8(5), np.uint8(9), np.uint8(9), np.uint8(7), np.uint8(6), np.uint8(4), np.uint8(6), np.uint8(3), np.uint8(6), np.uint8(10), np.uint8(8), np.uint8(10), np.uint8(10), np.uint8(10), np.uint8(6), np.uint8(6), np.uint8(10), np.uint8(4), np.uint8(8), np.uint8(8), np.uint8(4), np.uint8(7), np.uint8(9), np.uint8(8), np.uint8(5), np.uint8(9), np.uint8(6), np.uint8(1), np.uint8(2), np.uint8(8), np.uint8(10), np.uint8(10), np.uint8(7), np.uint8(5), np.uint8(9), np.uint8(7), np.uint8(3), np.uint8(7), np.uint8(10), np.uint8(8), np.uint8(7), np.uint8(8), np.uint8(4), np.uint8(1), np.uint8(4), np.uint8(3), np.uint8(2), np.uint8(4), np.uint8(1), np.uint8(2), np.uint8(1), np.uint8(4), np.uint8(6), np.uint8(10), np.uint8(5), np.uint8(9), np.uint8(10), np.uint8(3), np.uint8(5), np.uint8(3), np.uint8(7), np.uint8(1), np.uint8(5), np.uint8(8), np.uint8(1), np.uint8(2), np.uint8(9), np.uint8(8), np.uint8(2), np.uint8(9), np.uint8(4), np.uint8(10), np.uint8(2), np.uint8(5), np.uint8(5), np.uint8(1), np.uint8(2), np.uint8(2), np.uint8(4), np.uint8(8), np.uint8(8), np.uint8(5), np.uint8(10), np.uint8(2), np.uint8(4), np.uint8(8), np.uint8(4), np.uint8(6), np.uint8(4), np.uint8(4), np.uint8(10), np.uint8(1), np.uint8(7), np.uint8(4), np.uint8(4), np.uint8(10), np.uint8(5), np.uint8(2), np.uint8(9), np.uint8(2), np.uint8(6), np.uint8(7), np.uint8(10), np.uint8(4), np.uint8(10), np.uint8(10), np.uint8(8), np.uint8(1), np.uint8(1), np.uint8(6), np.uint8(4), np.uint8(5), np.uint8(1), np.uint8(9), np.uint8(7), np.uint8(10), np.uint8(6), np.uint8(4), np.uint8(1), np.uint8(2), np.uint8(1), np.uint8(7), np.uint8(8), np.uint8(2), np.uint8(6), np.uint8(2), np.uint8(9), np.uint8(7), np.uint8(4), np.uint8(1), np.uint8(6), np.uint8(5), np.uint8(6), np.uint8(4), np.uint8(4), np.uint8(9), np.uint8(5), np.uint8(5), np.uint8(9), np.uint8(6), np.uint8(7), np.uint8(7), np.uint8(3), np.uint8(9), np.uint8(8), np.uint8(10), np.uint8(10), np.uint8(7), np.uint8(9), np.uint8(10), np.uint8(10), np.uint8(1), np.uint8(6), np.uint8(4), np.uint8(4), np.uint8(10), np.uint8(2), np.uint8(6), np.uint8(6), np.uint8(5), np.uint8(5), np.uint8(9), np.uint8(7), np.uint8(4), np.uint8(4), np.uint8(1), np.uint8(10), np.uint8(9), np.uint8(3), np.uint8(10), np.uint8(10), np.uint8(1), np.uint8(5), np.uint8(9), np.uint8(6), np.uint8(4), np.uint8(1), np.uint8(5), np.uint8(7), np.uint8(4), np.uint8(4), np.uint8(4), np.uint8(5), np.uint8(10), np.uint8(2), np.uint8(5), np.uint8(3), np.uint8(8), np.uint8(1), np.uint8(4), np.uint8(1), np.uint8(2), np.uint8(10), np.uint8(8), np.uint8(1), np.uint8(9), np.uint8(7), np.uint8(5), np.uint8(10), np.uint8(2), np.uint8(7), np.uint8(1), np.uint8(9), np.uint8(4), np.uint8(6), np.uint8(8), np.uint8(9), np.uint8(1), np.uint8(7), np.uint8(1), np.uint8(3), np.uint8(1), np.uint8(1), np.uint8(1), np.uint8(5), np.uint8(4), np.uint8(10), np.uint8(7), np.uint8(6), np.uint8(6), np.uint8(4), np.uint8(10), np.uint8(8), np.uint8(3), np.uint8(5), np.uint8(10), np.uint8(5), np.uint8(10), np.uint8(10), np.uint8(4), np.uint8(10), np.uint8(4), np.uint8(1), np.uint8(9), np.uint8(2), np.uint8(10), np.uint8(8), np.uint8(10), np.uint8(2), np.uint8(8), np.uint8(1), np.uint8(8), np.uint8(1), np.uint8(1), np.uint8(2), np.uint8(2), np.uint8(1), np.uint8(3), np.uint8(5), np.uint8(6), np.uint8(7), np.uint8(5), np.uint8(7), np.uint8(7), np.uint8(1), np.uint8(5), np.uint8(5), np.uint8(2), np.uint8(5), np.uint8(6), np.uint8(6), np.uint8(2), np.uint8(5), np.uint8(4), np.uint8(2), np.uint8(9), np.uint8(6), np.uint8(8), np.uint8(5), np.uint8(7), np.uint8(1), np.uint8(1), np.uint8(4), np.uint8(3), np.uint8(1), np.uint8(4), np.uint8(4), np.uint8(10), np.uint8(9), np.uint8(5), np.uint8(3), np.uint8(9), np.uint8(9), np.uint8(3), np.uint8(2), np.uint8(3), np.uint8(2), np.uint8(10), np.uint8(9), np.uint8(7), np.uint8(7), np.uint8(5), np.uint8(10), np.uint8(5), np.uint8(7), np.uint8(4), np.uint8(2), np.uint8(4), np.uint8(2), np.uint8(4), np.uint8(3), np.uint8(4), np.uint8(5), np.uint8(10), np.uint8(5), np.uint8(6), np.uint8(7), np.uint8(1), np.uint8(3), np.uint8(3), np.uint8(3), np.uint8(9), np.uint8(5), np.uint8(2), np.uint8(1), np.uint8(6), np.uint8(7), np.uint8(4), np.uint8(7), np.uint8(1), np.uint8(3), np.uint8(1), np.uint8(9), np.uint8(6), np.uint8(6), np.uint8(7), np.uint8(10), np.uint8(1), np.uint8(2), np.uint8(10), np.uint8(3), np.uint8(1), np.uint8(10), np.uint8(3), np.uint8(10), np.uint8(7), np.uint8(3), np.uint8(9), np.uint8(6), np.uint8(1), np.uint8(2), np.uint8(6), np.uint8(10), np.uint8(9), np.uint8(4), np.uint8(3), np.uint8(5), np.uint8(1), np.uint8(3), np.uint8(7), np.uint8(6), np.uint8(2), np.uint8(4), np.uint8(4), np.uint8(6), np.uint8(2), np.uint8(10), np.uint8(3), np.uint8(8), np.uint8(2), np.uint8(7), np.uint8(10), np.uint8(1), np.uint8(6), np.uint8(2), np.uint8(6), np.uint8(2), np.uint8(2), np.uint8(10), np.uint8(2), np.uint8(9), np.uint8(10), np.uint8(7), np.uint8(5), np.uint8(4), np.uint8(4), np.uint8(10), np.uint8(8), np.uint8(10), np.uint8(9), np.uint8(9), np.uint8(7), np.uint8(8), np.uint8(3), np.uint8(4), np.uint8(9), np.uint8(8), np.uint8(5), np.uint8(7), np.uint8(3), np.uint8(6), np.uint8(7), np.uint8(9), np.uint8(3), np.uint8(8), np.uint8(3), np.uint8(10), np.uint8(4), np.uint8(7), np.uint8(4), np.uint8(3), np.uint8(1), np.uint8(10), np.uint8(7), np.uint8(9), np.uint8(7), np.uint8(2), np.uint8(2), np.uint8(8), np.uint8(10), np.uint8(5), np.uint8(9), np.uint8(7), np.uint8(4), np.uint8(5), np.uint8(3), np.uint8(8), np.uint8(6), np.uint8(8), np.uint8(5), np.uint8(4), np.uint8(8), np.uint8(3), np.uint8(6), np.uint8(6), np.uint8(4), np.uint8(7), np.uint8(7), np.uint8(7), np.uint8(1), np.uint8(5), np.uint8(8), np.uint8(4), np.uint8(1), np.uint8(8), np.uint8(5), np.uint8(5), np.uint8(3), np.uint8(7), np.uint8(1), np.uint8(4), np.uint8(10), np.uint8(2), np.uint8(1), np.uint8(10), np.uint8(1), np.uint8(5), np.uint8(6), np.uint8(7), np.uint8(9), np.uint8(4), np.uint8(2), np.uint8(1), np.uint8(10), np.uint8(8), np.uint8(5), np.uint8(7), np.uint8(4), np.uint8(2), np.uint8(1), np.uint8(3), np.uint8(7), np.uint8(4), np.uint8(9), np.uint8(3), np.uint8(4), np.uint8(8), np.uint8(1), np.uint8(7), np.uint8(1), np.uint8(5), np.uint8(6), np.uint8(6), np.uint8(3), np.uint8(2), np.uint8(1), np.uint8(1), np.uint8(6), np.uint8(1), np.uint8(2), np.uint8(7), np.uint8(5), np.uint8(9), np.uint8(4), np.uint8(6), np.uint8(1), np.uint8(2), np.uint8(9), np.uint8(7), np.uint8(3), np.uint8(8), np.uint8(2), np.uint8(4), np.uint8(1), np.uint8(6), np.uint8(4), np.uint8(8), np.uint8(1), np.uint8(8), np.uint8(10), np.uint8(6), np.uint8(7), np.uint8(8), np.uint8(10), np.uint8(5), np.uint8(5), np.uint8(8), np.uint8(7), np.uint8(7), np.uint8(4), np.uint8(5), np.uint8(2), np.uint8(4), np.uint8(10), np.uint8(5), np.uint8(10), np.uint8(8), np.uint8(8), np.uint8(1), np.uint8(4), np.uint8(3), np.uint8(9), np.uint8(6), np.uint8(2), np.uint8(7), np.uint8(6), np.uint8(1), np.uint8(9), np.uint8(2), np.uint8(6), np.uint8(2), np.uint8(7), np.uint8(6), np.uint8(3), np.uint8(7), np.uint8(5), np.uint8(3), np.uint8(9), np.uint8(10), np.uint8(5), np.uint8(7), np.uint8(1), np.uint8(5), np.uint8(3), np.uint8(3), np.uint8(6), np.uint8(7), np.uint8(10), np.uint8(1), np.uint8(1), np.uint8(9), np.uint8(3), np.uint8(3), np.uint8(7), np.uint8(3), np.uint8(2), np.uint8(2), np.uint8(4), np.uint8(9), np.uint8(7), np.uint8(5), np.uint8(2), np.uint8(8), np.uint8(8), np.uint8(10), np.uint8(10), np.uint8(1), np.uint8(10), np.uint8(1), np.uint8(7)]","[10, 10, 10, 10]"
List the unit prices of the bottom 3 purchases with the lowest total cost.,What are the unit prices for the three purchases with the lowest total cost?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Sort the dataset by 'Total' in ascending order to get the lowest totals first
    sorted_by_total = dataset.sort_values(by='Total')
    
    # Select the top 3 entries with the lowest total cost
    top_three_lowest_totals = sorted_by_total.head(3)
    
    # Extract the unit prices for these top three entries
    unit_prices = top_three_lowest_totals['Unit price'].tolist()
    
    return unit_prices
",list of float64,"[10.17, 12.09, 12.54]","[10.17, 12.09, 12.54]"
Enumerate the ratings of the top 5 purchases with the highest total cost.,What are the ratings associated with the top 5 most expensive purchases?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
    # Load the dataset into a DataFrame
    df = pd.DataFrame(db)
    
    # Sort the dataframe based on the 'Unit price' column in descending order
    top_expensive_purchases = df.sort_values(by='Unit price', ascending=False).head(5)
    
    # Extract the 'Rating' for these top 5 purchases
    ratings = top_expensive_purchases['Rating'].tolist()
    
    return ratings
",list of float64,"[6.1, 4.2, 7.1, 7.1, 8.5]","[6.6, 8.7, 4.5, 8.0, 4.4]"
Provide the gross incomes of the bottom 2 purchases with the lowest total cost.,What are the gross incomes for the two purchases with the lowest total cost?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Sort the dataset by 'Total' in ascending order to get the lowest totals first
    sorted_dataset = dataset.sort_values(by='Total', ascending=True)
    
    # Select the top two rows based on total cost
    top_two_purchases = sorted_dataset.head(2)
    
    # Extract gross income for these two purchases
    gross_incomes = top_two_purchases['gross income'].tolist()
    
    return gross_incomes
",list of float64,"[0.5085, 0.6045]","[0.5085, 0.6045]"
Are there any individuals in the dataset who are above 60 years of age?,Do any individuals in the dataset have an age greater than 60?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    has_age_over_60 = dataset['Age'] > 60
    result = has_age_over_60.any()
    
    return result
",bool,TRUE,FALSE
Does anyone have a Diabetes Pedigree Function score above 2.5?,Is there any individual in the dataset with a Diabetes Pedigree Function score exceeding 2.5?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Check if there is any individual with a DiabetesPedigreeFunction score exceeding 2.5
    exceeds_threshold = dataset['DiabetesPedigreeFunction'].max() > 2.5
    
    return exceeds_threshold
",bool,FALSE,TRUE
Does the person with the highest glucose level also have diabetes?,,,,ERROR,TRUE
Is there anyone who has zero pregnancies and is diabetic?,Are there any individuals in the dataset who have not experienced any pregnancies and are diagnosed as diabetic?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Filter the dataset to find individuals who have not experienced any pregnancies and are diagnosed as diabetic
    condition_met = (dataset['Pregnancies'] == 0) & (dataset['Outcome'] == 1)
    
    result = dataset[condition_met]
    
    # Check if there is any row that meets the condition
    has_diabetic_individuals = not result.empty
    
    return has_diabetic_individuals
",bool,TRUE,TRUE
What is the maximum number of pregnancies recorded in the dataset?,What is the highest value recorded for pregnancies in the dataset?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
    max_pregnancies = db[""Pregnancies""].max()
    return max_pregnancies
",uint8,17,17
What is the minimum blood pressure level recorded in the dataset?,What is the lowest recorded value of blood pressure in the dataset?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
    lowest_blood_pressure = db[""BloodPressure""].min()
    return lowest_blood_pressure
",uint8,0,0
What is the average BMI recorded in the dataset?,What is the mean value of BMI recorded in the dataset?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
    answer = db[""BMI""].mean()
    return answer
",float64,31.99257812,31.99257812
How many individuals have an insulin level above 150?,What is the count of individuals with an insulin level greater than 150?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    count_individuals = dataset.loc[dataset[""Insulin""] > 150].shape[0]
    
    return count_individuals
",int64,153,187
What is the diabetes outcome for the person with the highest BMI?,What is the diabetes outcome for the individual with the highest BMI value?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
    max_bmi_individual = db.loc[db[""BMI""] == db[""BMI""].max()]
    outcome = max_bmi_individual[""Outcome""].values[0]
    
    return outcome
",uint8,1,1
What is the diabetes outcome for the person with the lowest blood pressure?,What is the diabetes outcome for the individual with the lowest blood pressure reading?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
    # Filter the DataFrame to get the row with the lowest BloodPressure
    min_blood_pressure_row = db.loc[db['BloodPressure'].idxmin()]
    
    # Get the diabetes outcome for that individual
    outcome = min_blood_pressure_row['Outcome']
    
    return outcome
",uint8,0,0
What is the diabetes outcome for the person with the highest insulin level?,What is the diabetes outcome for the individual having the highest insulin level?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
    max_insulin_individual = db.loc[db[""Insulin""] == db[""Insulin""].max()]
    outcome = max_insulin_individual[""Outcome""].values[0]
    
    return outcome
",uint8,1,1
What is the diabetes outcome for the person with the lowest glucose level?,What is the diabetes outcome for the individual with the minimum glucose level?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    min_glucose_individual = dataset.loc[dataset[""Glucose""] == dataset[""Glucose""].min()]
    outcome_for_min_glucose = min_glucose_individual[""Outcome""].values[0]
    
    return outcome_for_min_glucose
",uint8,0,0
List the diabetes outcomes of the top 3 individuals with the highest number of pregnancies.,What are the diabetes outcomes for the top 3 individuals who have had the most pregnancies?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
    # Extract the relevant columns from the dataframe
    relevant_data = db[['Pregnancies', 'Outcome']]
    
    # Sort the data by Pregnancies in descending order and select top 3 rows
    top_3_pregnant_individuals = relevant_data.sort_values(by='Pregnancies', ascending=False).head(3)
    
    # Extract the outcomes for these individuals
    outcomes = top_3_pregnant_individuals['Outcome'].tolist()
    
    return outcomes
",list of (uint8),"[1, 1, 1]","[1, 1, 1]"
List the diabetes outcomes of the bottom 2 individuals with the lowest BMI.,What are the diabetes outcomes for the two individuals having the lowest BMI?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Sort the dataset by BMI in ascending order and select the top 2
    sorted_dataset = dataset.sort_values(by='BMI', ascending=True).head(2)
    
    # Extract the 'Outcome' values for these two individuals
    outcomes = sorted_dataset['Outcome'].tolist()
    
    return outcomes
",list of uint8,"[0, 1]","[0, 0]"
List the diabetes outcomes of the top 5 individuals with the highest insulin levels.,What are the diabetes outcomes for the individuals with the top 5 highest insulin levels?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Sort the dataset by 'Insulin' in descending order and select the top 5 rows
    top_insulin_individuals = dataset.sort_values(by='Insulin', ascending=False).head(5)
    
    # Extract the 'Outcome' for these individuals
    outcomes = top_insulin_individuals['Outcome'].tolist()
    
    return outcomes
",list of (uint8),"[1, 0, 0, 1, 1]","[1, 1, 1, 1, 1]"
